argumentTypeId,argumentTypeName,sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,sourcePhysiologicalStateId,sourcePhysiologicalStateName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,targetPhysiologicalStateId,targetPhysiologicalStateName,localityId,localityName,decimalLatitude,decimalLongitude,observationDateTime,referenceDoi,referenceUrl,referenceCitation
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Mastadenovirus Porcine adenovirus C,,,,,,,,Japan,,,1987,10.1292/jvms1939.52.407,,"Hirahara, T. et al. Isolation of porcine adenovirus from the respiratory tract of pigs in Japan. Nihon Juigaku Zasshi 52, 407-409 (1990)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Iotatorquevirus Torque teno sus virus 1b,,,,,,,,Spain,,,1985,10.1016/j.vetmic.2008.08.002,,"Segales, J. et al. Retrospective study on swine Torque teno virus genogroups 1 and 2 infection from 1985 to 2005 in Spain. Veterinary microbiology 134, 199-207, doi:S0378-1135(08)00315-5 [pii] 10.1016/j.vetmic.2008.08.002 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Iotatorquevirus Torque teno sus virus 1a,,,,,,,,Spain,,,1985,10.1016/j.vetmic.2008.08.002,,"Segales, J. et al. Retrospective study on swine Torque teno virus genogroups 1 and 2 infection from 1985 to 2005 in Spain. Veterinary microbiology 134, 199-207, doi:S0378-1135(08)00315-5 [pii] 10.1016/j.vetmic.2008.08.002 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Kappatorquevirus Torque teno sus virus k2,,,,,,,,Spain,,,1985,10.1016/j.vetmic.2008.08.002,,"Segales, J. et al. Retrospective study on swine Torque teno virus genogroups 1 and 2 infection from 1985 to 2005 in Spain. Veterinary microbiology 134, 199-207, doi:S0378-1135(08)00315-5 [pii] 10.1016/j.vetmic.2008.08.002 (2009)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus,,,,,,,,,,,-,,,
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus Type 2,,,,,,,,USA,,,1987,10.1177/104063879200400201,https://pubmed.ncbi.nlm.nih.gov/1616975/,"Collins, J. E. et al. Isolation of swine infertility and respiratory syndrome virus (isolate ATCC VR-2332) in North America and experimental reproduction of the disease in gnotobiotic pigs. J Vet Diagn Invest 4, 117-126 (1992)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus Type 2,,,,,,,,USA,,,1987,10.1177/104063879200400202,https://pubmed.ncbi.nlm.nih.gov/1616976/,"Benfield, D. A. et al. Characterization of swine infertility and respiratory syndrome (SIRS) virus (isolate ATCC VR-2332). J Vet Diagn Invest 4, 127-133 (1992)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus Type 1,,,,,,,,Netherlands,,,1990,10.1016/S0378-1135(96)01322-3,https://www.sciencedirect.com/science/article/pii/S0378113596013223,"Albina, E. Epidemiology of porcine reproductive and respiratory syndrome (PRRS): an overview. Veterinary microbiology 55, 309-316 (1997)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus Type 1,,,,,,,,Netherlands,,,1990,10.1080/01652176.1991.9694296,https://pubmed.ncbi.nlm.nih.gov/1835211/,"Wensvoort, G. et al. Mystery swine disease in The Netherlands: the isolation of Lelystad virus. Vet Q 13, 121-130, doi:10.1080/01652176.1991.9694296 (1991)."
https://en.wiktionary.org/wiki/support,support,,,Sus scrofa domesticus,,,,,,,http://purl.obolibrary.org/obo/RO_0002445,is parasitized by,,,Arterivirus Porcine reproductive and respiratory syndrome virus Highly Pathogenic,,,,,,,,China,,,2006,10.1371/journal.pone.0000526,https://journals.plos.org/plosone/article/figure?id=10.1371/journal.pone.0000526.g002,"Tian, K. et al. Emergence of fatal PRRSV variants: unparalleled outbreaks of atypical PRRS in China and molecular dissection of the unique hallmark. PLoS One 2, e526, doi:10.1371/journal.pone.0000526 (2007)."
